Security Code,Security Name,Company name,Result Date
543210,AARTISURF,Aarti Surfactants Ltd,02 Feb 2022
526488,AARVINFRA,AARV Infratel Ltd,02 Feb 2022
541450,ADANIGREEN,Adani Green Energy Ltd,02 Feb 2022
511463,ALEXANDER,Alexander Stamps And Coin Ltd,02 Feb 2022
500877,APOLLOTYRE,APOLLO TYRES LTD.,02 Feb 2022
531847,ASTAR,ASIAN STAR CO.LTD.-$,02 Feb 2022
542066,ATGL,Adani Total Gas Ltd,02 Feb 2022
540649,AVADHSUGAR,Avadh Sugar & Energy Ltd,02 Feb 2022
533229,BAJAJCON,Bajaj Consumer Care Ltd,02 Feb 2022
530999,BALAMINES,BALAJI AMINES LTD.-$,02 Feb 2022
540073,BLS,BLS International Services Ltd,02 Feb 2022
540403,CLEDUCATE,CL Educate Ltd,02 Feb 2022
500096,DABUR,DABUR INDIA LTD.,02 Feb 2022
532927,ECLERX,ECLERX SERVICES LTD.,02 Feb 2022
511716,ESCORTSFIN,ESCORTS FINANCE LTD.,02 Feb 2022
533400,FCONSUMER,Future Consumer Ltd,02 Feb 2022
524564,GAYATRIBI,GAYATRI BIOORGANICS LTD.,02 Feb 2022
522275,GET&D,GE T&D India Ltd,02 Feb 2022
507815,GILLETTE,GILLETTE INDIA LTD.,02 Feb 2022
539725,GOKULAGRO,Gokul Agro Resources Ltd,02 Feb 2022
542772,IIFLWAM,IIFL Wealth Management Ltd,02 Feb 2022
532717,INDOTECH,INDO TECH TRANSFORMERS LTD.,02 Feb 2022
505100,INRADIA,INDIA RADIATORS LTD.,02 Feb 2022
532388,IOB,INDIAN OVERSEAS BANK,02 Feb 2022
506520,JAYCH,JAYSHREE CHEMICALS LTD.,02 Feb 2022
500380,JKLAKSHMI,JK LAKSHMI CEMENT LTD.,02 Feb 2022
513509,KALYANIFRG,KALYANI FORGE LTD.,02 Feb 2022
541161,KBCGLOBAL,KBC Global Ltd,02 Feb 2022
501261,KRATOSENER,KRATOS ENERGY & INFRASTRUCTURE LTD.,02 Feb 2022
505320,LYNMC,LYNX MACHINERY & COMMERCIALS LTD.,02 Feb 2022
532720,M&MFIN,MAHINDRA & MAHINDRA FINANCIAL SERVICES LTD.,02 Feb 2022
500265,MAHSEAMLES,MAHARASHTRA SEAMLESS LTD.,02 Feb 2022
540749,MASFIN,MAS Financial Services Ltd,02 Feb 2022
539045,MNKALCOLTD,Manaksia Aluminium Company Ltd,02 Feb 2022
511766,MUTHTFN,MUTHOOT CAPITAL SERVICES LTD.,02 Feb 2022
532864,NELCAST,NELCAST LTD.,02 Feb 2022
532742,PAUSHAKLTD,PAUSHAK LTD.,02 Feb 2022
539090,RAJPUTANA,Rajputana Investment and Finance Ltd,02 Feb 2022
500111,RELCAPITAL,RELIANCE CAPITAL LTD.,02 Feb 2022
517447,RSSOFTWARE,R.S.SOFTWARE INDIA LTD.,02 Feb 2022
530267,SABOOBR,SABOO BROTHERS LTD.,02 Feb 2022
530617,SAMPRE,SAMPRE NUTRITIONS LTD.,02 Feb 2022
540203,SFL,Sheela Foam Ltd,02 Feb 2022
513097,SHBCLQ,SHIVALIK BIMETAL CONTROLS LTD.,02 Feb 2022
502460,SOLIDCO,SOLID CONTAINERS LTD.,02 Feb 2022
543279,SURYODAY,Suryoday Small Finance Bank Ltd,02 Feb 2022
522113,TIMKEN,TIMKEN INDIA LTD.,02 Feb 2022
532356,TRIVENI,TRIVENI ENGINEERING & INDUSTRIES LTD.,02 Feb 2022
511509,VIVOBIOT,VIVO BIO TECH LTD.,02 Feb 2022
532553,WELENT,Welspun Enterprises Ltd,02 Feb 2022
505537,ZEEL,ZEE ENTERTAINMENT ENTERPRISES LTD.,02 Feb 2022
534742,ZUARI,ZUARI AGRO CHEMICALS LTD.,02 Feb 2022
531335,ZYDUSWELL,ZYDUS WELLNESS LTD.-$,02 Feb 2022
523395,3MINDIA,3M INDIA LTD.,03 Feb 2022
541988,AAVAS,AAVAS Financiers Ltd,03 Feb 2022
540691,ABCAPITAL,Aditya Birla Capital Ltd,03 Feb 2022
531161,ABMKNO,ABM KNOWLEDGEWARE LTD.,03 Feb 2022
533096,ADANIPOWER,ADANI POWER LTD.,03 Feb 2022
539254,ADANITRANS,Adani Transmission Ltd,03 Feb 2022
532351,AKSHOPTFBR,AKSH OPTIFIBRE LTD.,03 Feb 2022
530973,ALFAICA,ALFA ICA (INDIA) LTD.,03 Feb 2022
531978,AMBIKCO,AMBIKA COTTON MILLS LTD.,03 Feb 2022
512091,ANSHNCO,ANSHUNI COMMERCIALS LTD.,03 Feb 2022
531677,ARISINT,ARIS INTERNATIONAL LTD.,03 Feb 2022
542176,ARYAN,Aryan Share and Stock Brokers Ltd,03 Feb 2022
532853,ASAHISONG,ASAHI SONGWON COLORS LTD.,03 Feb 2022
509009,AUSOMENT,AuSom Enterprise Limited,03 Feb 2022
503722,BANSWRAS,BANSWARA SYNTEX LTD.-$,03 Feb 2022
543283,BARBEQUE,Barbeque-Nation Hospitality Ltd,03 Feb 2022
512404,BENGALS,BENGAL STEEL INDUSTRIES LTD.,03 Feb 2022
514183,BLACKROSE,BLACK ROSE INDUSTRIES LTD.,03 Feb 2022
532929,BRIGADE,BRIGADE ENTERPRISES LTD.,03 Feb 2022
532321,CADILAHC,CADILA HEALTHCARE LTD.,03 Feb 2022
524742,CAPPL,CAPLIN POINT LABORATORIES LTD.,03 Feb 2022
531900,CCLINTER,CCL INTERNATIONAL LTD.,03 Feb 2022
500280,CENTENKA,CENTURY ENKA LTD.,03 Feb 2022
534691,COMCL,COMFORT COMMOTRADE LTD.,03 Feb 2022
531216,COMFINTE,COMFORT INTECH LTD.-$,03 Feb 2022
506395,COROMANDEL,COROMANDEL INTERNATIONAL LTD.,03 Feb 2022
511710,CUBIFIN,CUBICAL FINANCIAL SERVICES LTD.,03 Feb 2022
540701,DCAL,Dishman Carbogen Amcis Ltd,03 Feb 2022
543288,DEEPIND,Deep Industries Ltd,03 Feb 2022
517437,DUTRON,DUTRON POLYMERS LTD.-$,03 Feb 2022
500840,EIHOTEL,EIH LTD.,03 Feb 2022
531162,EMAMILTD,EMAMI LTD.-$,03 Feb 2022
500136,ESTER,ESTER INDUSTRIES LTD.,03 Feb 2022
533121,EXPLEOSOL,Expleo Solutions Ltd,03 Feb 2022
533296,FMNL,FUTURE MARKET NETWORKS LTD.,03 Feb 2022
507552,FOODSIN,FOODS & INNS LTD.,03 Feb 2022
532155,GAIL,GAIL (INDIA) LTD.,03 Feb 2022
542351,GLOSTERLTD,Gloster Ltd,03 Feb 2022
505255,GMM,GMM PFAUDLER LTD.,03 Feb 2022
533150,GODREJPROP,Godrej Properties Ltd,03 Feb 2022
506076,GRINDWELL,GRINDWELL NORTON LTD.-$,03 Feb 2022
523836,GUJRAFIA,GUJARAT RAFFIA INDUSTRIES LTD.,03 Feb 2022
508486,HAWKINCOOK,HAWKINS COOKERS LTD.-$,03 Feb 2022
500185,HCC,HINDUSTAN CONSTRUCTION CO.LTD.,03 Feb 2022
541019,HGINFRA,H.G. Infra Engineering Ltd,03 Feb 2022
500199,IGPL,I G PETROCHEMICALS LTD.,03 Feb 2022
532745,INDICAP,Inditrade Capital Limited,03 Feb 2022
517423,INTEGSW,INTEGRA SWITCHGEAR LTD.,03 Feb 2022
530519,INTERFAC,INTERFACE FINANCIAL SERVICES LTD.,03 Feb 2022
543311,IPL,India Pesticides Ltd,03 Feb 2022
500875,ITC,ITC LTD.,03 Feb 2022
501311,JAYBHCR,JAYABHARAT CREDIT LTD.-$,03 Feb 2022
530007,JKTYRE,JK TYRE & INDUSTRIES LTD.,03 Feb 2022
533320,JUBLINDS,JUBILANT INDUSTRIES LTD.,03 Feb 2022
500234,KAKATCEM,KAKATIYA CEMENT SUGAR & INDUSTRIES LTD.,03 Feb 2022
543278,KALYANKJIL,Kalyan Jewellers India Ltd,03 Feb 2022
505890,KENNAMET,KENNAMETAL INDIA LTD.-$,03 Feb 2022
500243,KIRLOSIND,Kirloskar Industries Ltd,03 Feb 2022
524280,KOPRAN,KOPRAN LTD.,03 Feb 2022
535387,LAKHOTIA,LAKHOTIA POLYESTERS (INDIA) LTD.,03 Feb 2022
500257,LUPIN,LUPIN LTD.,03 Feb 2022
539542,LUXIND,Lux Industries Ltd,03 Feb 2022
501473,MALTC,MALABAR TRADING CO.LTD,03 Feb 2022
521018,MARALOVER,MARAL OVERSEAS LTD.,03 Feb 2022
533088,MHRIL,MAHINDRA HOLIDAYS & RESORTS INDIA LTD.,03 Feb 2022
532952,NAHARCAP,NAHAR CAPITAL & FINANCIAL SERVICES LTD.,03 Feb 2022
523391,NAHARPOLY,NAHAR POLYFILMS LTD.,03 Feb 2022
500296,NAHARSPING,NAHAR SPINNING MILLS LTD.,03 Feb 2022
500298,NATPEROX,NATIONAL PEROXIDE LTD.,03 Feb 2022
512522,NEPTEXP,NEPTUNE EXPORTS LTD.,03 Feb 2022
505355,NESCO,NESCO LTD.,03 Feb 2022
532698,NITINSPIN,NITIN SPINNERS LTD.,03 Feb 2022
500680,PFIZER,PFIZER LTD.,03 Feb 2022
523642,PIIND,PI Industries Ltd,03 Feb 2022
530331,PREMCO,PREMCO GLOBAL LTD.-$,03 Feb 2022
513613,PRESHAMET,Presha Metallurgical Ltd.,03 Feb 2022
509077,PRESSMN,Pressman Advertising Limited,03 Feb 2022
